candidate_id,source_id,page,matched_term,evidence_window
C0053,S09_digital_yard_transcript,20,access,"vironmentally controlled archival storage. Our mission is to safeguard these collections so that future generations can access and learn from the rich history of our HBCUs. After the traveling archivist rehouses materials, I assign every object with a unique identifier and create a digitization plan for the digitization hub team. Now let's take a closer look at the digitization process. Hi, my name is Summer Redding,"
C0054,S09_digital_yard_transcript,21,access,"called image treatment. During this process, I organize and edit the scans to become internet-ready images for research access online. Image-treated access images are then exported to become keyword searchable through the Optical Character Recognition, or OCR, process. Through OCR, you can search for specific terms within yearbooks, newspapers, and other digital documents. In collaboration with our contributing HBCUs"
C0055,S09_digital_yard_transcript,22,digitization,"Now, we must get back to work. Andrea Jackson Gavin 45:45 Thank you. I want to thank the Digitization Hub team for that awesome tour of their lab. I'll also quickly shout out Clark Atlanta University's TV production team that made that video for us, so, in addition to our Digitization Hub actresses. So, if you are a contributing HBCU, or a potential contributing HBCU, we do invite you t"
C0056,S09_digital_yard_transcript,23,digitization,"ng together collaboratively. Also includes what the Atlanta University Center Woodruff Library will provide through the digitization hub, etc. So that is the formalized… the formal process. We are also, reaching out to all HBCUs, so we… but we certainly field incoming inquiries as well. So, we are reaching out one by one, meeting, HBCUs at various conferences, coming to visit HBCUs at their institutions, and, trying"
C0057,S09_digital_yard_transcript,24,research,"er ethnomusicologists about What we can do, to enhance those collections. How can someone support the organization as a researcher, a public historian? That's a very good question. We would love to know how people are utilizing the collection. First of all, please reach out to us, let us know your interest in the collections, let us know what you are working on, and we are very interested in highlighting that, so if"
C0058,S09_digital_yard_transcript,25,access,"unities for internships. Do we work with cultural, historical nonprofits, allowing such organizations to digitally host access materials from the Digital Trust? Please talk to us about, collaborations. I think you might have seen, Kendall shared where we have relationships, a link. just in that way that we link out to other, to sites, particularly our HBCUs, we also link out to, collaborative digital collections that"
C0059,S09_digital_yard_transcript,26,access,". But please always remember that our website, as well as the digital collection, the HBCU Digital Collection. are both accessible 24-7 for more information and to access the HBCU collection whenever your mood strikes. Right before I ask Dr. Sarah Bleich to conclude our program, I want to send a special thank you to our amazing all-star team of administrative support staff. who ensured this program ran smoothly. So,"
C0060,S09_digital_yard_transcript,27,partnership,"portunities that address the legacies of slavery. And the third, which is what brings us all together, is deepening our partnerships with historically Black colleges and universities. The work of the HBCU Digital Library Trust is an example of Harvard's commitment to HBCUs and stands alongside our other programmatic work, like our partnership with the HBCU Executive Leadership Institute at Clark Atlanta University, a"
C0061,S10_research_guide,1,research,HBCU Digital Collection Research Guide: Conducting Research Skip to Main Content 1. LibraryLibGuidesHBCU Digital Collection Research GuideConducting Research Library LibGuides HBCU Digital Collection Research Guide Conducting Research Search this Guide HBCU Digital Collection Research Guide: Conducting Research Welcome Abo
C0062,S10_research_guide,2,access,"f on the right side of the item before you open the pdfs. When interacting with audiovisual content, you may be able to access closed captions/subtitles and a transcription. Closed captions (CC) are the written form/transcript of spoken words. You can enable and disable closed captions using the icon below the video - it is the fifth icon from the right. If the icon is white, closed captions are activated; if it is b"
C0063,S10_research_guide,3,research,"n situations in which you want to delve into a particular school or location, and in cases where the beginnings of your research you have determined. Subject: subject headings are explained below, and are useful to narrow down into specific topics. Some of our most used subject headings are included as a reference. Author/Creator: these are the contributors of materials Date: this is the date an object was created. D"
C0064,S10_research_guide,4,metadata,"efore a date means the date is the best approximate inference in the range of +/- 10 years Description - the section of metadata that describes the object. Digital Collection - this describes each collection available on CONTENTdm (defined in the Project Processes section). For example, the Bethune-Cookman University Collection. Digital Repository - this describes the HBCU Digital Collection as a whole; it includes a"
C0065,S10_research_guide,5,access,"ository Schomburg Center for Research in Black Culture, Photographs and Print Division The HistoryMakers Vital records (accessed based on location) Themes within the HBCU Digital Collection Themes can be used for narrowing down a topic/focus of research and interest. These are a list of themes that can be frequently explored within the collection. This is not an exhaustive list of themes and is meant to be used as a"
C0066,S10_research_guide,6,research,omen Buildings and grounds Campus life College presidents College publications College students HBCU Digital Collection Research Guide: Conducting Research 6
C0067,S10_research_guide,7,research,"ming Oral history Portraits and people Special events Teachers colleges Last Updated: Apr 17, 2026 9:15 AM URL: https://research.auctr.edu/hbcudltresearch Print Page Login to LibApps HBCU Digital Collection Research Guide: Conducting Research 7"
C0068,S11_hbcu_library_alliance,1,digitization,"he development of leadership skills within the HBCU library community and on their own campuses. Learn More >> HBCU-CUL Digitization Initiative The HBCU Library Alliance and Cornell University Library collaboration, ""Building Collections, Building Services, and Building Sustainability: A Collaborative Model for the HBCU Library Alliance"", is a nationwide initiative to prepare HBCU librarians to produce digital collec"
C0069,S11_hbcu_library_alliance,2,access,tes Production Guidelines File Types and Recommended Resolution Requirements Table 1: Master Image Files [PDF] Table 2: Access Image Files [PDF] Basic Production Steps [PDF] Metadata Production Guielines [PDF] GPO Specification for Quality Control (Version 1.1) CONTENTdm Help Metadata Creation Using CONTENTdm NISO Metadata Standards Technical-Administrative Metadata Spreadsheet [PDF] Creating Compound Objects [PDF] I
C0070,S12_harvard_legacy_slavery,2,research,"nitiative kicks off third year of Du Bois Scholars Program with additional support  Read more Public database advances research on University’s ties to slavery, bolsters effort to help descendants recover family histories Featured Story: Harvard releases information on 1,613 individuals enslaved by leaders, faculty, or staff  Read more"
C0071,S12_harvard_legacy_slavery,4,research,"ory and the Alphonse Fletcher University Professor and director of the Hutchins Center for African and African American Research at Harvard University, Gates is also known for his role in creating, hosting, and producing the PBS series, Finding Your Roots. Gates helps guide the Initiative’s efforts to advance descendant research as a member of the Advisory Board for the Initiative’s genealogical research partner, Ame"
C0072,S12_harvard_legacy_slavery,7,partnership,"fforts on three priority areas: memorialization (https://legacyofslavery.harvard.edu/memorial-project/), advancing HBCU partnerships (https://legacyofslavery.harvard.edu/hbcu-initiatives/), and supporting descendant communities. (https://legacyofslavery.harvard.edu/supporting- descendants/) We will also continue to provide learning opportunities (https://legacyofslavery.harvard.edu/learning-opportunities/) and invite"
C0073,S12_harvard_legacy_slavery,8,partnership,"volved As the Initiative enters the next phase of our strategy, we want to hear from you and leverage opportunities for partnership and learning. (https://legacyofslavery.harvard.edu/get- involved/)  Partner and learn with us News and Events Stay up-to-date on the Harvard & the Legacy of Slavery Initiative’s latest news and events."
C0074,S12_harvard_legacy_slavery,10,research,"May 12, 2026 Public database advances research on University’s ties to slavery, bolsters effort to help descendants recover family histories Harvard releases information on 1,613 individuals enslaved by leaders, faculty, or staff  Read more"
C0075,S12_harvard_legacy_slavery,11,access,ttps://www.harvard.edu/security-issue/) Trademark notice (https://trademark.harvard.edu/pages/trademark-notice) Website Accessibility (https://accessibility.harvard.edu/) Digital accessibility (https://accessibility.huit.harvard.edu/digital-accessibility-policy) Privacy statement (https://www.harvard.edu/privacy-statement/) Contact Office of the Vice Provost for Special Projects (mailto:legacyofslavery@harvard.edu)
C0076,S12_harvard_legacy_slavery,12,copyright,(https://www.harvard.edu/) Copyright © 2026 The President and Fellows of Harvard College
